epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,471.723,0.72333,2.04875,1.16718,0.80816,0.25911,0.80576,0.67732,0.60277,3.10573,1.07949,0.000543038,0.000543038,0.000543038
2,837.186,0.67583,1.16295,1.08269,0.72603,0.83325,0.80255,0.53946,0.84632,2.6454,1.30442,0.00107695,0.00107695,0.00107695
3,1064.37,0.73889,1.09582,1.13145,0.64794,0.82196,0.81054,0.65338,0.81521,2.9067,1.27639,0.00158886,0.00158886,0.00158886
4,1264.33,0.6972,0.93419,1.09358,0.37479,0.60075,0.40437,0.28545,1.46135,4.5338,2.10457,0.00156798,0.00156798,0.00156798
5,1461.08,0.70392,0.81602,1.08667,0.91321,0.88983,0.93944,0.77516,0.71726,1.2843,1.14298,0.00153497,0.00153497,0.00153497
6,1654.4,0.65365,0.71412,1.06347,0.83513,0.66689,0.8213,0.67066,0.67596,1.55574,1.14445,0.00150197,0.00150197,0.00150197
7,1849.38,0.65054,0.67052,1.05318,0.97121,0.97752,0.99219,0.85872,0.54897,0.66547,1.00647,0.00146896,0.00146896,0.00146896
8,2042.45,0.63485,0.59584,1.03678,0.92173,0.9376,0.97496,0.8379,0.54233,0.65541,0.97249,0.00143595,0.00143595,0.00143595
9,2234.51,0.63266,0.61513,1.0653,0.74895,0.71674,0.82342,0.66207,0.68226,1.45894,1.05933,0.00140295,0.00140295,0.00140295
10,2426.89,0.59055,0.55849,1.02349,0.984,0.99521,0.995,0.90589,0.45373,0.47912,0.91886,0.00136994,0.00136994,0.00136994
11,2618.43,0.58338,0.51389,1.01781,0.99729,0.99677,0.995,0.89241,0.48014,0.4414,0.94187,0.00133693,0.00133693,0.00133693
12,2810.61,0.55265,0.49362,0.99911,0.89398,0.95671,0.96638,0.77914,0.52426,0.70143,0.9501,0.00130393,0.00130393,0.00130393
13,3002.53,0.55902,0.51645,1.02465,0.89457,0.97248,0.96083,0.86942,0.50487,0.52912,0.96518,0.00127092,0.00127092,0.00127092
14,3196.72,0.56367,0.47348,1.00711,0.97978,0.98625,0.99475,0.9204,0.42802,0.43517,0.90687,0.00123791,0.00123791,0.00123791
15,3394.28,0.54879,0.44507,1.01729,0.97939,1,0.99107,0.87962,0.46086,0.36808,0.92645,0.00120491,0.00120491,0.00120491
16,3586.7,0.5305,0.42101,0.98916,0.9825,0.99323,0.995,0.89603,0.43843,0.36528,0.88899,0.0011719,0.0011719,0.0011719
17,3779.11,0.53753,0.42501,0.99246,0.98581,1,0.995,0.91937,0.41357,0.32938,0.88592,0.00113889,0.00113889,0.00113889
18,3972.13,0.49688,0.40013,0.97499,0.99776,1,0.995,0.92211,0.40936,0.29044,0.88259,0.00110589,0.00110589,0.00110589
19,4167.69,0.51712,0.39097,0.97525,0.99723,1,0.995,0.91391,0.40125,0.29438,0.87285,0.00107288,0.00107288,0.00107288
20,4359.92,0.50157,0.38656,0.99281,0.99728,1,0.995,0.91654,0.40075,0.30823,0.88296,0.00103987,0.00103987,0.00103987
21,4552.83,0.49321,0.37451,0.97564,0.99717,1,0.995,0.9295,0.37928,0.30337,0.85745,0.00100687,0.00100687,0.00100687
22,4745.11,0.48275,0.36434,0.97828,0.99709,1,0.995,0.93247,0.37783,0.28378,0.85896,0.000973861,0.000973861,0.000973861
23,4937.25,0.4735,0.35874,0.94328,0.9964,0.99989,0.995,0.93996,0.37684,0.26338,0.86602,0.000940855,0.000940855,0.000940855
24,5130.34,0.51288,0.41199,0.97843,0.99627,1,0.995,0.94267,0.38849,0.27736,0.85633,0.000907848,0.000907848,0.000907848
25,5323.2,0.45182,0.33794,0.94103,0.99563,1,0.995,0.94043,0.40109,0.2797,0.87255,0.000874842,0.000874842,0.000874842
26,5517.71,0.46347,0.3578,0.96895,0.99248,0.99858,0.995,0.9206,0.38963,0.26876,0.86202,0.000841835,0.000841835,0.000841835
27,5710.75,0.47583,0.34939,0.97204,0.99538,0.99916,0.995,0.93213,0.40857,0.27437,0.87676,0.000808828,0.000808828,0.000808828
28,5903.59,0.45977,0.34465,0.9649,0.99648,1,0.995,0.93742,0.39148,0.26008,0.85936,0.000775822,0.000775822,0.000775822
29,6096.42,0.43003,0.32735,0.96075,0.99814,1,0.995,0.93338,0.37929,0.25075,0.85363,0.000742815,0.000742815,0.000742815
30,6290.43,0.44187,0.32107,0.96411,0.99422,1,0.995,0.93595,0.38659,0.27283,0.86527,0.000709809,0.000709809,0.000709809
31,6482.5,0.45138,0.31567,0.95515,0.99234,0.99862,0.995,0.92387,0.38226,0.25542,0.86151,0.000676802,0.000676802,0.000676802
32,6674.91,0.43796,0.32498,0.95725,0.9983,1,0.995,0.93898,0.36145,0.23838,0.83859,0.000643795,0.000643795,0.000643795
33,6867.45,0.42961,0.30692,0.95123,0.99497,1,0.995,0.93624,0.36165,0.23217,0.8359,0.000610789,0.000610789,0.000610789
34,7059.89,0.41069,0.29973,0.93386,0.9978,1,0.995,0.93651,0.35198,0.23199,0.83683,0.000577782,0.000577782,0.000577782
35,7253.31,0.41127,0.29761,0.93008,0.99376,0.99997,0.995,0.94456,0.34522,0.21468,0.83279,0.000544776,0.000544776,0.000544776
36,7446.14,0.41306,0.3038,0.93409,0.9979,1,0.995,0.94404,0.33637,0.20873,0.82688,0.000511769,0.000511769,0.000511769
37,7638.85,0.3986,0.28712,0.9364,0.99626,1,0.995,0.94599,0.34471,0.21051,0.82307,0.000478762,0.000478762,0.000478762
38,7832.22,0.42041,0.29084,0.94604,0.9967,1,0.995,0.94653,0.3504,0.21193,0.83451,0.000445756,0.000445756,0.000445756
39,8025.45,0.40043,0.28184,0.93532,0.99745,1,0.995,0.94961,0.34008,0.21131,0.83066,0.000412749,0.000412749,0.000412749
40,8219.69,0.3794,0.26155,0.92219,0.99845,1,0.995,0.95061,0.331,0.20453,0.82612,0.000379743,0.000379743,0.000379743
41,8411.59,0.32702,0.2262,0.88116,0.99789,1,0.995,0.95624,0.32944,0.20342,0.82376,0.000346736,0.000346736,0.000346736
42,8604.34,0.31804,0.4674,0.87286,0.99818,1,0.995,0.9451,0.35089,0.22569,0.83573,0.000313729,0.000313729,0.000313729
43,8796.37,0.32716,0.21103,0.86683,0.9979,1,0.995,0.94356,0.32849,0.20438,0.82494,0.000280723,0.000280723,0.000280723
44,8988.79,0.31848,0.21024,0.88755,0.99842,1,0.995,0.95083,0.33589,0.20589,0.82717,0.000247716,0.000247716,0.000247716
45,9181.58,0.31779,0.20301,0.88584,0.99792,1,0.995,0.95515,0.3334,0.20014,0.82626,0.00021471,0.00021471,0.00021471
46,9374.42,0.31742,0.37289,0.88511,0.99811,1,0.995,0.95317,0.32097,0.20554,0.81888,0.000181703,0.000181703,0.000181703
47,9566.28,0.31074,0.19576,0.87956,0.99807,1,0.995,0.94978,0.32984,0.1969,0.82684,0.000148696,0.000148696,0.000148696
48,9758.23,0.30176,0.18888,0.87503,0.99829,1,0.995,0.95013,0.32397,0.18602,0.82366,0.00011569,0.00011569,0.00011569
49,9948.28,0.30284,0.18584,0.87001,0.99836,1,0.995,0.9467,0.31778,0.17702,0.82049,8.26832e-05,8.26832e-05,8.26832e-05
50,10145.7,0.30322,0.19852,0.87184,0.99808,1,0.995,0.95712,0.315,0.17509,0.81744,4.96766e-05,4.96766e-05,4.96766e-05
